Date,Close,Open,High,Low,Vol.,Change %
2-Feb-20,0.8288,0.8036,0.8634,0.7936,679.58K,3.12%
1-Feb-20,0.8038,0.7766,0.8086,0.7692,647.25K,3.50%
31-Jan-20,0.7766,0.7405,0.784,0.714,540.29K,4.88%
30-Jan-20,0.7405,0.7223,0.7525,0.7007,532.82K,2.52%
29-Jan-20,0.7223,0.7051,0.7279,0.6905,511.11K,2.44%
28-Jan-20,0.7051,0.6876,0.7078,0.6785,525.85K,2.55%
27-Jan-20,0.6876,0.6898,0.696,0.6803,359.00K,-0.32%
26-Jan-20,0.6898,0.6668,0.6903,0.661,119.85K,3.45%
25-Jan-20,0.6668,0.6647,0.6806,0.6477,140.39K,0.31%
24-Jan-20,0.6647,0.6724,0.6823,0.6429,293.85K,-1.14%
23-Jan-20,0.6724,0.7006,0.7086,0.6571,271.94K,-4.02%
22-Jan-20,0.7006,0.696,0.7119,0.6853,229.84K,0.66%
21-Jan-20,0.696,0.6777,0.7159,0.6704,404.10K,2.71%
20-Jan-20,0.6777,0.6802,0.6884,0.6563,246.46K,-0.38%
19-Jan-20,0.6802,0.7382,0.7382,0.6641,658.09K,-7.85%
18-Jan-20,0.7382,0.7388,0.7554,0.7028,414.59K,-0.09%
17-Jan-20,0.7388,0.6908,0.7725,0.6843,888.62K,6.95%
16-Jan-20,0.6908,0.6976,0.7036,0.6577,490.93K,-0.98%
15-Jan-20,0.6976,0.6642,0.7178,0.6548,1.19M,5.03%
14-Jan-20,0.6642,0.6201,0.6775,0.6198,883.79K,7.11%
13-Jan-20,0.6201,0.6317,0.6322,0.6172,228.43K,-1.83%
12-Jan-20,0.6317,0.6292,0.6403,0.6224,177.55K,0.41%
11-Jan-20,0.6292,0.6197,0.6571,0.6171,518.65K,1.53%
10-Jan-20,0.6197,0.617,0.6234,0.5962,418.35K,0.44%
9-Jan-20,0.617,0.6286,0.6327,0.612,465.18K,-1.85%
8-Jan-20,0.6286,0.6509,0.6579,0.6161,637.76K,-3.43%
7-Jan-20,0.6509,0.6886,0.6934,0.6423,783.44K,-5.47%
6-Jan-20,0.6886,0.6593,0.7006,0.6577,374.89K,4.44%
5-Jan-20,0.6593,0.6544,0.6746,0.6535,173.77K,0.75%
